step,lr,total_its
20,0.00000045,376.95
30,0.00000066,487.92
40,0.00000087,489.39
50,0.00000109,484.75
60,0.00000130,456.90
70,0.00000151,455.55
80,0.00000173,488.59
90,0.00000194,479.30
100,0.00000215,412.39
110,0.00000237,496.17
120,0.00000258,463.05
130,0.00000279,472.66
140,0.00000301,484.76
150,0.00000322,485.38
160,0.00000343,480.22
170,0.00000365,451.19
180,0.00000386,498.93
190,0.00000407,448.81
200,0.00000429,471.71
210,0.00000450,468.40
220,0.00000471,479.83
230,0.00000493,456.56
240,0.00000514,485.91
250,0.00000535,484.76
260,0.00000557,462.39
270,0.00000578,464.46
280,0.00000599,488.64
290,0.00000621,452.39
300,0.00000642,423.40
310,0.00000663,394.67
320,0.00000685,424.87
330,0.00000706,452.00
340,0.00000727,500.03
350,0.00000749,435.95
360,0.00000770,473.99
370,0.00000791,495.35
380,0.00000813,452.53
390,0.00000834,494.08
400,0.00000855,490.86
410,0.00000877,475.89
420,0.00000898,484.77
430,0.00000919,466.02
440,0.00000941,500.33
450,0.00000962,476.62
460,0.00000983,455.77
470,0.00001005,484.28
480,0.00001026,445.06
490,0.00001047,472.06
500,0.00001069,448.26
510,0.00001090,482.33
520,0.00001111,474.68
530,0.00001133,445.50
540,0.00001154,414.14
550,0.00001175,469.45
560,0.00001197,475.85
570,0.00001218,486.40
580,0.00001239,427.39
590,0.00001261,393.14
600,0.00001282,447.11
610,0.00001303,490.37
620,0.00001325,489.08
630,0.00001346,471.57
640,0.00001367,459.62
650,0.00001389,476.49
660,0.00001410,461.93
670,0.00001431,478.03
680,0.00001453,485.43
690,0.00001474,465.74
700,0.00001495,469.34
710,0.00001517,453.93
720,0.00001538,471.65
730,0.00001559,456.36
740,0.00001581,471.30
750,0.00001602,459.65
760,0.00001623,492.58
770,0.00001645,476.51
780,0.00001666,458.48
790,0.00001687,429.72
800,0.00001709,459.18
810,0.00001730,453.87
820,0.00001751,445.28
830,0.00001773,456.09
840,0.00001794,430.74
850,0.00001815,489.90
860,0.00001837,472.17
870,0.00001858,437.38
880,0.00001879,296.85
890,0.00001901,468.79
900,0.00001922,484.50
910,0.00001943,483.32
920,0.00001965,502.23
930,0.00001986,466.73
940,0.00002007,469.91
950,0.00002029,495.23
960,0.00002050,477.74
970,0.00002071,437.56
980,0.00002093,489.26
990,0.00002114,450.67
1000,0.00002135,451.36
1010,0.00002157,476.55
1020,0.00002178,468.60
1030,0.00002199,487.04
1040,0.00002221,453.17
1050,0.00002242,410.10
1060,0.00002263,461.13
1070,0.00002285,463.92
1080,0.00002306,413.02
1090,0.00002327,457.64
1100,0.00002349,482.14
1110,0.00002370,486.87
1120,0.00002391,461.46
1130,0.00002413,491.84
1140,0.00002434,488.38
1150,0.00002455,495.47
1160,0.00002477,446.79
