step,loss
20,35.1777
30,35.1463
40,35.1365
50,35.1940
60,35.1405
70,35.0328
80,34.9074
90,34.9750
100,34.9606
110,34.8862
120,34.9000
130,34.7732
140,34.6952
150,34.7636
160,34.6232
170,34.5714
180,34.4861
190,34.4527
200,34.3530
210,34.1725
220,34.1017
230,34.0195
240,33.8797
250,33.8556
260,33.7515
270,33.6185
280,33.5372
290,33.2625
300,33.2246
310,33.0823
320,32.8853
330,32.8867
340,32.6542
350,32.5517
360,32.4080
370,32.2586
380,32.2016
390,32.1012
400,32.0110
410,31.8766
420,31.6225
430,31.6474
440,31.4707
450,31.4423
460,31.3094
470,31.2935
480,31.2682
490,31.0408
500,31.0722
510,31.0518
520,30.8933
530,31.0112
540,30.8608
550,30.8461
560,30.7118
570,30.7236
580,30.6200
590,30.7159
600,30.6989
610,30.5032
620,30.5190
630,30.4992
640,30.4671
650,30.5900
660,30.3731
670,30.3124
680,30.4157
690,30.2987
700,30.1904
710,30.3055
720,30.2338
730,30.2116
740,30.1262
750,30.3132
760,30.2578
770,30.2362
780,30.0653
790,30.1835
800,30.0970
810,30.2119
820,30.2595
830,30.1105
840,30.0816
850,30.1274
860,30.0826
870,30.1568
880,30.0018
890,30.1203
900,30.0411
910,29.9787
920,29.9764
930,30.0168
940,29.9383
950,29.9681
960,30.0164
970,29.9825
980,29.9009
990,29.8235
1000,29.9826
1010,29.9587
1020,29.9169
1030,29.9544
1040,29.9207
1050,29.8515
1060,29.9923
1070,29.8026
1080,29.9563
1090,29.8218
1100,29.9758
1110,29.7638
1120,29.8145
1130,29.8705
1140,29.8614
1150,29.8706
1160,29.9260
1170,29.7378
1180,29.8761
1190,29.8735
1200,29.8565
1210,29.8018
1220,29.8445
1230,29.7446
1240,29.6989
1250,29.7989
1260,29.9055
1270,29.7723
1280,29.7789
1290,29.8115
1300,29.8592
1310,29.7429
1320,29.8458
1330,29.8773
1340,29.8662
1350,29.6577
1360,29.6446
1370,29.8883
1380,29.8110
1390,29.7385
1400,29.7321
1410,29.7021
1420,29.6992
1430,29.6499
1440,29.7685
1450,29.7452
1460,29.6520
1470,29.7743
1480,29.7358
1490,29.6843
1500,29.7938
1510,29.6541
1520,29.7200
1530,29.7185
1540,29.6748
1550,29.6502
1560,29.6799
1570,29.6397
1580,29.6662
1590,29.6247
1600,29.7233
1610,29.6704
1620,29.6664
1630,29.7076
1640,29.6157
1650,29.7911
1660,29.6152
1670,29.6788
1680,29.6578
1690,29.6673
1700,29.7988
1710,29.5227
1720,29.6542
1730,29.6583
1740,29.7347
1750,29.7073
1760,29.6460
1770,29.6820
1780,29.7648
1790,29.5738
1800,29.6869
1810,29.5975
1820,29.6820
1830,29.5825
1840,29.6889
1850,29.7308
1860,29.6959
1870,29.6783
1880,29.7011
1890,29.7131
1900,29.6506
1910,29.6482
1920,29.6436
1930,29.5972
1940,29.7000
1950,29.7798
1960,29.6487
1970,29.6679
1980,29.6474
1990,29.7497
2000,29.7496
2010,29.7012
2020,29.6619
2030,29.6594
2040,29.5630
