step,lr,total_its,embed_norm,grad_bb,grad_pfc
20,0.00000045,458.34,31.3915,26.9651,23.8517
30,0.00000066,465.03,31.5415,25.8227,34.4545
40,0.00000087,394.09,31.3051,28.2950,25.0550
50,0.00000109,466.13,32.1087,25.5418,36.7476
60,0.00000130,460.57,30.8023,33.8027,32.3249
70,0.00000151,462.22,31.5162,21.2778,23.2495
80,0.00000173,417.40,32.1666,24.0836,23.1414
90,0.00000194,464.93,32.9245,23.2760,31.4353
100,0.00000215,463.43,31.9140,19.4956,21.7317
110,0.00000237,472.95,32.0993,20.9843,22.7630
120,0.00000258,472.55,31.2873,19.7751,24.3063
130,0.00000279,438.05,31.5473,18.6506,21.7749
140,0.00000301,339.10,30.6543,19.5736,20.9662
150,0.00000322,476.32,30.5616,20.0013,31.8147
160,0.00000343,317.81,32.3257,18.5511,21.5656
170,0.00000365,465.70,31.6236,19.0448,21.4364
180,0.00000386,464.99,32.5555,17.6857,20.7910
190,0.00000407,388.42,32.1508,18.4731,22.7151
200,0.00000429,461.96,33.0258,18.5060,20.7786
210,0.00000450,469.24,32.0979,18.1759,21.8810
220,0.00000471,468.78,32.7915,17.4043,20.9809
230,0.00000493,408.61,33.5156,17.6154,20.7746
240,0.00000514,409.43,33.5644,17.8567,20.7420
250,0.00000535,377.86,34.8121,18.0052,22.4935
260,0.00000557,259.37,34.2370,17.3986,20.0769
270,0.00000578,468.54,34.3392,16.6216,21.9271
280,0.00000599,483.94,34.8200,16.8085,19.9195
290,0.00000621,472.93,34.0889,16.7867,26.0750
300,0.00000642,431.90,35.6680,17.6364,21.1445
310,0.00000663,439.01,36.0188,16.6357,20.5873
320,0.00000685,478.59,36.4929,15.7170,22.1176
330,0.00000706,484.48,37.2529,16.2178,20.3457
340,0.00000727,278.41,37.8538,16.5777,20.6771
350,0.00000749,470.23,37.8427,15.9228,20.1230
360,0.00000770,480.95,38.2715,15.1807,19.6649
370,0.00000791,436.48,38.8022,14.2503,18.9588
380,0.00000813,186.37,39.2993,14.4253,18.7146
390,0.00000834,450.26,40.3807,14.3196,19.4607
400,0.00000855,77.95,40.6035,14.7858,19.6385
410,0.00000877,476.13,40.6981,14.4691,19.8335
420,0.00000898,479.71,41.5219,14.3697,19.5334
430,0.00000919,466.35,42.3602,13.3541,18.2886
440,0.00000941,472.20,42.8268,13.3302,18.7413
450,0.00000962,477.67,43.0122,12.4910,19.3064
460,0.00000983,476.96,43.6525,13.2988,18.8813
470,0.00001005,493.62,43.1439,13.3698,18.7112
480,0.00001026,480.06,43.9454,13.3586,19.2316
490,0.00001047,484.03,44.4328,12.8744,19.0255
500,0.00001069,475.56,44.4813,12.9433,17.9956
510,0.00001090,468.73,45.2068,13.4980,18.5626
520,0.00001111,471.95,45.3317,12.9695,18.7560
530,0.00001133,406.21,46.1692,12.6694,19.2923
540,0.00001154,468.77,46.6959,12.4020,18.6205
550,0.00001175,480.20,47.4575,13.4242,17.6434
560,0.00001197,471.59,47.8603,13.0320,18.7578
570,0.00001218,488.08,47.5284,13.2335,17.9712
580,0.00001239,482.72,48.1252,12.2687,17.5748
590,0.00001261,481.71,48.6336,12.4985,17.9036
600,0.00001282,459.06,48.6249,13.1374,17.7370
610,0.00001303,483.15,49.6219,12.4906,17.0232
620,0.00001325,408.03,50.3133,12.5565,17.3516
630,0.00001346,444.36,50.2792,12.4105,18.0686
640,0.00001367,489.83,50.8392,12.2520,18.5623
650,0.00001389,487.71,50.8996,11.9070,17.3620
660,0.00001410,482.00,51.2902,12.3240,18.2475
670,0.00001431,484.44,52.8822,12.8818,18.2008
680,0.00001453,384.20,52.8970,12.7991,18.0398
690,0.00001474,326.79,53.2201,11.1327,18.2461
700,0.00001495,91.83,53.7820,11.6760,17.1527
710,0.00001517,484.47,53.5947,11.0626,17.9026
720,0.00001538,490.18,54.5659,10.8350,17.8539
730,0.00001559,465.70,55.3032,12.3360,17.8838
740,0.00001581,467.91,56.1988,11.5953,17.7348
750,0.00001602,486.98,55.8152,11.2141,18.0660
760,0.00001623,476.09,55.6958,12.0531,18.0956
770,0.00001645,469.54,56.7512,11.0746,18.4748
780,0.00001666,397.68,57.2109,11.0148,16.8792
790,0.00001687,475.43,58.3276,11.7978,16.9020
800,0.00001709,484.34,57.6791,11.3261,18.0135
810,0.00001730,480.56,59.0851,11.6090,18.1568
820,0.00001751,475.47,59.5369,11.3973,17.7733
830,0.00001773,490.52,59.5827,10.9907,16.7857
840,0.00001794,380.86,60.1017,11.4674,17.8303
850,0.00001815,486.52,60.8635,11.5899,18.5493
860,0.00001837,480.61,60.5245,11.2059,16.4492
870,0.00001858,476.22,61.5896,11.2258,17.7715
880,0.00001879,373.68,62.2549,11.3114,18.0482
890,0.00001901,475.81,63.0134,11.0192,17.5959
900,0.00001922,343.94,63.2479,11.6566,17.6532
910,0.00001943,470.17,63.5252,11.5564,18.0705
920,0.00001965,481.27,63.4282,11.1395,17.4736
930,0.00001986,430.41,64.0196,11.0136,16.0465
940,0.00002007,424.17,64.6425,10.9139,18.2421
950,0.00002029,463.99,64.1763,11.3782,17.8189
960,0.00002050,483.48,65.6226,11.1255,18.4130
970,0.00002071,419.75,65.7948,10.3617,17.5060
980,0.00002093,448.57,66.3918,10.3884,17.9663
990,0.00002114,482.83,66.2301,11.1259,17.4056
1000,0.00002135,469.89,67.1647,11.3561,17.1822
1010,0.00002157,481.24,66.8795,10.9205,17.8327
1020,0.00002178,482.41,67.6787,10.6834,16.8135
1030,0.00002199,386.74,68.0120,10.1912,17.2091
1040,0.00002221,476.71,69.0612,10.2402,17.2821
1050,0.00002242,434.18,69.2287,10.9540,16.6904
1060,0.00002263,414.82,69.9159,11.1233,17.6570
1070,0.00002285,336.67,70.8327,10.1034,18.2385
1080,0.00002306,103.75,71.2026,10.8759,17.9627
1090,0.00002327,461.99,71.0624,9.7181,17.5253
1100,0.00002349,490.24,71.0026,10.8505,18.0958
1110,0.00002370,485.10,71.2437,10.3641,17.5355
1120,0.00002391,468.78,72.6181,10.2674,17.8651
1130,0.00002413,483.36,73.0149,10.8093,17.2649
1140,0.00002434,468.67,73.8394,9.8915,17.4079
1150,0.00002455,480.26,73.3108,10.8891,17.5719
1160,0.00002477,486.10,74.1713,10.3479,17.2416
1170,0.00002498,473.65,75.1845,10.8372,17.5494
1180,0.00002519,481.74,75.1179,10.6131,18.7024
1190,0.00002541,481.60,76.4756,10.2794,18.8319
1200,0.00002562,491.30,76.9658,10.4992,17.5726
1210,0.00002583,485.54,76.5348,10.1509,17.8148
1220,0.00002605,485.81,77.2179,10.2154,18.4371
1230,0.00002626,480.49,78.7081,10.4607,17.4229
1240,0.00002647,484.50,78.0662,9.5000,17.9503
1250,0.00002669,469.42,79.2033,10.3797,17.3653
1260,0.00002690,473.33,78.5335,9.9674,17.8531
1270,0.00002711,476.50,80.3763,10.1136,16.9776
1280,0.00002733,493.76,80.4030,9.6751,17.6337
1290,0.00002754,487.76,80.6031,9.5185,17.7561
1300,0.00002775,485.26,81.6660,9.7354,17.2124
1310,0.00002797,478.41,82.3269,9.3222,18.4374
1320,0.00002818,480.68,82.7928,9.9368,16.8863
1330,0.00002839,476.42,83.3604,9.9100,18.0472
1340,0.00002861,446.35,83.6729,10.0586,17.0705
1350,0.00002882,471.12,84.6214,9.8093,18.3137
1360,0.00002903,480.53,85.3518,10.0330,16.4267
1370,0.00002925,474.48,85.0188,10.3776,18.4648
1380,0.00002946,472.74,84.8407,10.2086,17.0525
1390,0.00002967,485.79,86.7668,9.5039,18.6922
1400,0.00002989,473.58,87.5955,9.7765,18.1617
1410,0.00003010,476.20,87.3283,9.9239,17.4673
1420,0.00003031,485.30,87.8424,9.3751,17.9496
1430,0.00003053,489.90,89.5896,9.9668,18.2403
1440,0.00003074,472.31,90.7555,9.9679,17.1102
1450,0.00003095,470.44,89.9981,9.6586,18.0724
1460,0.00003117,409.69,91.2860,9.2729,17.3202
1470,0.00003138,469.50,92.4742,9.4448,17.6321
1480,0.00003159,481.03,92.5010,9.2330,17.9198
1490,0.00003181,476.52,92.2709,9.2211,17.7267
1500,0.00003202,469.87,93.1743,9.2405,18.6616
1510,0.00003223,469.71,93.8281,9.1032,17.0883
1520,0.00003245,482.25,95.4860,8.7198,16.4393
1530,0.00003266,476.72,95.9388,9.6941,18.4750
1540,0.00003287,474.51,95.1294,9.2726,18.1463
1550,0.00003309,488.83,97.2118,10.0090,18.7464
1560,0.00003330,486.54,97.5905,9.1317,16.6855
1570,0.00003351,484.77,97.0593,9.2707,17.5844
1580,0.00003373,467.12,98.3838,9.6504,17.4129
1590,0.00003394,478.13,98.4155,9.8833,17.9629
1600,0.00003415,480.43,98.4691,9.6549,17.5734
1610,0.00003437,477.09,99.4083,8.6524,17.9137
1620,0.00003458,477.53,100.3755,9.1544,18.2680
1630,0.00003479,482.09,100.7063,9.5240,19.0353
1640,0.00003501,354.58,100.7288,8.9070,18.5221
1650,0.00003522,491.51,101.5478,9.0041,17.5104
1660,0.00003543,473.81,102.3591,8.8631,17.5149
1670,0.00003565,471.02,103.2018,9.0237,17.7906
