step,loss
20,35.2410
30,35.3443
40,35.2348
50,35.2057
60,35.1925
70,35.1601
80,35.0819
90,35.0839
100,35.1339
110,34.8794
120,34.8080
130,34.8551
140,34.8024
150,34.6874
160,34.6713
170,34.5321
180,34.5813
190,34.3982
200,34.3904
210,34.2635
220,34.1691
230,34.0820
240,33.9711
250,33.9468
260,33.7861
270,33.5968
280,33.4097
290,33.3199
300,33.1800
310,33.1037
320,33.0396
330,32.7892
340,32.6594
350,32.4316
360,32.3941
370,32.2397
380,32.0912
390,32.0133
400,31.8763
410,31.8811
420,31.6548
430,31.6450
440,31.5349
450,31.4912
460,31.4272
470,31.2802
480,31.2917
490,30.9679
500,31.1175
510,30.9134
520,30.8390
530,30.9026
540,30.7830
550,30.7739
560,30.7358
570,30.6663
580,30.6886
590,30.5802
600,30.6012
610,30.5090
620,30.5257
630,30.4988
640,30.4613
650,30.4422
660,30.2402
670,30.2664
680,30.2970
690,30.2805
700,30.2633
710,30.3041
720,30.1663
730,30.2072
740,30.1699
750,30.2306
760,30.3158
770,30.2070
780,30.0478
790,30.0853
800,30.0528
810,29.9808
820,30.2148
830,30.1154
840,30.0002
850,30.0804
860,30.0065
870,29.9828
880,29.9750
890,30.0673
900,29.9873
910,29.9506
920,29.9632
930,29.9490
940,29.9785
950,29.8846
960,29.8622
970,29.9457
980,29.9051
990,29.8549
1000,29.8622
1010,29.8591
1020,30.0233
1030,29.7495
1040,29.9296
1050,29.7419
1060,29.9263
1070,29.7888
1080,29.7411
1090,29.7269
1100,29.8527
1110,29.7792
1120,29.8811
1130,29.8769
1140,29.8438
1150,29.8677
1160,29.8173
1170,29.7589
1180,29.8707
1190,29.8912
1200,29.8242
1210,29.8086
1220,29.7531
1230,29.7356
1240,29.7614
1250,29.7188
1260,29.8089
1270,29.7598
1280,29.7396
1290,29.8293
1300,29.8389
1310,29.7077
1320,29.7124
1330,29.8557
1340,29.8137
1350,29.6715
1360,29.6869
1370,29.8168
1380,29.7833
1390,29.6688
1400,29.7962
1410,29.7296
1420,29.7230
1430,29.7122
1440,29.7720
1450,29.7348
1460,29.7068
1470,29.7386
1480,29.7323
1490,29.6721
1500,29.7689
1510,29.6099
1520,29.6672
1530,29.7337
1540,29.6103
1550,29.6660
1560,29.6375
1570,29.6559
1580,29.6665
1590,29.7317
1600,29.7672
1610,29.6237
1620,29.6362
1630,29.6324
1640,29.6171
1650,29.7875
1660,29.7274
1670,29.6855
1680,29.6951
1690,29.6907
1700,29.6634
1710,29.6888
1720,29.6629
1730,29.6327
1740,29.7578
1750,29.6518
1760,29.7293
1770,29.6772
1780,29.5569
1790,29.6528
1800,29.6381
1810,29.6729
1820,29.7601
1830,29.6056
1840,29.6515
1850,29.6601
1860,29.6408
1870,29.5818
1880,29.6811
1890,29.5989
1900,29.6408
1910,29.6684
1920,29.7021
1930,29.7603
1940,29.6366
1950,29.6915
1960,29.7232
1970,29.6289
1980,29.6704
1990,29.6216
2000,29.6124
2010,29.6657
2020,29.6481
2030,29.6534
2040,29.5658
2050,29.5419
2060,29.6679
2070,29.6307
2080,29.5037
2090,29.6319
2100,29.6512
2110,29.6729
2120,29.5806
2130,29.7035
2140,29.7005
2150,29.5732
2160,29.7086
2170,29.5677
2180,29.6501
2190,29.6421
2200,29.5680
2210,29.6060
2220,29.6013
2230,29.6038
2240,29.6173
2250,29.6357
2260,29.5607
2270,29.5284
2280,29.7050
2290,29.6410
2300,29.6663
2310,29.6156
2320,29.7172
2330,29.7059
2340,29.5797
2350,29.6050
2360,29.5688
2370,29.5797
2380,29.6704
2390,29.7193
2400,29.5596
2410,29.5881
2420,29.5855
2430,29.5676
2440,29.5664
2450,29.6096
2460,29.5723
2470,29.7138
2480,29.5882
2490,29.5288
2500,29.5394
2510,29.5729
2520,29.7156
2530,29.6626
2540,29.5680
2550,29.5028
2560,29.6243
2570,29.6595
2580,29.6129
2590,29.6520
2600,29.5491
2610,29.6144
2620,29.5917
2630,29.5895
2640,29.4786
2650,29.5850
2660,29.5361
2670,29.6430
2680,29.7767
2690,29.6134
2700,29.5743
2710,29.5125
2720,29.5885
2730,29.5385
2740,29.5276
2750,29.6002
2760,29.5988
2770,29.5789
2780,29.6119
2790,29.5635
2800,29.5500
2810,29.5162
2820,29.6325
2830,29.5035
2840,29.5822
2850,29.5199
2860,29.5268
2870,29.5201
2880,29.5631
2890,29.6347
2900,29.5068
2910,29.5575
2920,29.5134
2930,29.4986
2940,29.5805
2950,29.5689
2960,29.5529
2970,29.6265
2980,29.5574
2990,29.5776
3000,29.4116
3010,29.5718
3020,29.4705
3030,29.4163
3040,29.4722
3050,29.5067
3060,29.4476
3070,29.5319
3080,29.3736
3090,29.4902
3100,29.4478
3110,29.5852
3120,29.4561
3130,29.5313
3140,29.5607
3150,29.5673
3160,29.5296
3170,29.3667
3180,29.5049
3190,29.4857
3200,29.5088
3210,29.5005
3220,29.4409
3230,29.5695
3240,29.4069
3250,29.3580
3260,29.4785
3270,29.3948
3280,29.4662
3290,29.5390
3300,29.5170
3310,29.4313
3320,29.4372
3330,29.4683
3340,29.5502
3350,29.3920
3360,29.4771
3370,29.4009
3380,29.4286
3390,29.4979
3400,29.3597
3410,29.3838
3420,29.4323
3430,29.3967
3440,29.4817
3450,29.4390
3460,29.4935
3470,29.4159
3480,29.4374
3490,29.3862
3500,29.3139
3510,29.5243
3520,29.3455
3530,29.3669
3540,29.3631
3550,29.3483
3560,29.4036
3570,29.2434
3580,29.3947
3590,29.3658
3600,29.3296
3610,29.4028
3620,29.3188
3630,29.3835
3640,29.4034
3650,29.3087
3660,29.4520
3670,29.4380
3680,29.3467
3690,29.3376
3700,29.4565
3710,29.4617
3720,29.3016
3730,29.3246
3740,29.3033
3750,29.3149
3760,29.3974
3770,29.4241
3780,29.1671
3790,29.3670
3800,29.2955
3810,29.2854
3820,29.3911
3830,29.2960
3840,29.3474
3850,29.3226
3860,29.3111
3870,29.3054
3880,29.3405
3890,29.3684
3900,29.2359
3910,29.3190
3920,29.2225
3930,29.3260
3940,29.1968
3950,29.2617
3960,29.3547
3970,29.2139
3980,29.2539
3990,29.1899
4000,29.2571
4010,29.4009
4020,29.2895
4030,29.2241
4040,29.1766
4050,29.2827
4060,29.2140
4070,29.1543
4080,29.2237
4090,29.1084
4100,29.2838
4110,29.2082
4120,29.1928
4130,29.1603
4140,29.0772
4150,29.2445
4160,29.1512
4170,29.2254
4180,29.0129
4190,29.1270
4200,29.1450
4210,29.1070
4220,29.2585
4230,29.2083
4240,29.1483
4250,29.1781
4260,29.1425
4270,29.1952
4280,29.2073
4290,29.1610
4300,29.1732
4310,29.1608
4320,29.2316
4330,29.1394
4340,29.2699
4350,29.1126
4360,29.1900
4370,29.2420
4380,29.1921
4390,29.2122
4400,29.1717
4410,29.0220
4420,29.1061
4430,29.1373
4440,28.9915
4450,29.1059
4460,29.1645
4470,29.0398
4480,28.9893
4490,29.0267
4500,29.0637
4510,29.1085
4520,28.9993
4530,29.0176
4540,29.1220
4550,29.0316
4560,29.0336
4570,29.0364
4580,29.0314
4590,29.0465
4600,29.0279
4610,29.0978
4620,29.0647
4630,29.0347
4640,29.1016
4650,29.0778
4660,29.0335
4670,28.9418
4680,29.0070
4690,28.9538
4700,29.0599
4710,29.0075
4720,28.9828
4730,29.0088
4740,28.9926
4750,29.0272
4760,28.8303
4770,29.0406
4780,29.0110
4790,28.9896
4800,28.8463
4810,28.9420
4820,29.0485
4830,28.9617
