step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
20,0.00000045,166.18,16.0581,52.7207,63.7801,57461,4735,524
30,0.00000066,160.34,16.0686,52.1048,29.2874,57262,4935,523
40,0.00000087,160.31,16.0036,25.8481,42.4176,57138,4995,586
50,0.00000109,170.03,16.0259,23.5687,41.0076,56715,5273,733
60,0.00000130,160.64,16.0752,42.5309,23.3650,57801,4493,425
70,0.00000151,164.19,16.0145,46.7031,31.9687,57369,4826,524
80,0.00000173,169.48,15.9383,40.3671,31.6513,57165,4955,600
90,0.00000194,162.63,15.9101,65.1845,21.5158,57758,4490,472
100,0.00000215,168.33,15.8756,30.2050,24.7771,57227,4825,668
110,0.00000237,163.74,15.8922,23.5035,24.7833,57890,4420,410
120,0.00000258,161.14,15.8404,21.4394,24.7441,57241,4854,624
130,0.00000279,159.84,15.7583,18.0304,26.0079,57619,4615,486
140,0.00000301,160.94,15.6935,19.2200,23.6806,57616,4634,471
150,0.00000322,166.62,15.6279,20.1149,25.1791,57284,4817,619
160,0.00000343,154.19,15.5496,18.4217,23.8625,57442,4736,542
170,0.00000365,162.41,15.4474,17.9788,24.2246,57524,4664,532
180,0.00000386,154.74,15.3162,17.1887,23.9875,57535,4672,514
190,0.00000407,164.54,15.2390,19.5204,23.4635,57591,4571,558
200,0.00000429,166.39,15.0491,16.9398,21.5639,57337,4841,542
210,0.00000450,157.53,14.9261,17.6916,23.6716,57292,4848,580
220,0.00000471,161.32,14.7782,15.8934,22.2732,57502,4724,493
230,0.00000493,159.56,14.5908,17.7332,23.9027,57038,5048,634
240,0.00000514,171.73,14.4769,16.1735,22.5353,57282,4862,576
250,0.00000535,166.31,14.3165,17.5392,25.5697,57416,4764,540
260,0.00000557,159.87,14.2912,16.3468,20.7852,57154,4991,575
270,0.00000578,161.69,14.1885,16.7323,20.6849,57185,4983,552
280,0.00000599,164.49,14.1250,17.5966,20.7421,57678,4572,470
290,0.00000621,166.63,14.0305,16.7485,20.2020,56949,5073,698
300,0.00000642,166.51,13.9093,16.6031,20.8003,57312,4846,562
310,0.00000663,157.35,13.8727,16.1458,20.6427,57594,4597,529
320,0.00000685,169.04,13.8091,17.3628,19.8117,57090,5041,589
330,0.00000706,169.24,13.7015,15.5358,20.8344,57431,4743,546
340,0.00000727,167.17,13.6378,15.4320,20.7101,57120,4965,635
350,0.00000749,166.83,13.6100,14.9031,19.4070,57271,4900,549
360,0.00000770,160.32,13.6870,15.4033,19.2134,57593,4634,492
370,0.00000791,167.50,13.6267,14.6607,19.1735,57224,4933,562
380,0.00000813,169.80,13.6113,16.6258,19.0810,57348,4876,495
390,0.00000834,175.29,13.5233,14.9689,19.9649,57860,4412,449
400,0.00000855,170.85,13.4232,15.5559,19.4669,57283,4855,582
410,0.00000877,147.93,13.5377,16.4701,18.6342,57340,4810,570
420,0.00000898,169.45,13.5819,14.7132,18.9541,57776,4432,513
430,0.00000919,172.01,13.5941,16.4125,17.9051,57384,4822,513
440,0.00000941,173.07,13.6444,15.6051,18.8360,57485,4740,495
