step,loss
20,35.5969
30,35.3784
40,35.2563
50,35.1493
60,35.4350
70,35.2709
80,35.2496
90,35.2117
100,35.1087
110,35.1232
120,35.0204
130,34.8854
140,34.9098
150,34.7280
160,34.6724
170,34.6178
180,34.5385
190,34.5481
200,34.3966
210,34.1237
220,34.0976
230,33.9824
240,33.8796
250,33.7497
260,33.6648
270,33.4832
280,33.3996
290,33.1714
300,33.0399
310,32.9916
320,32.7475
330,32.7143
340,32.6256
350,32.3242
360,32.3669
370,32.2460
380,32.0909
390,31.9605
400,31.8914
410,31.8362
420,31.7047
430,31.5228
440,31.4213
450,31.3955
460,31.3546
470,31.3607
480,31.2404
490,31.0551
500,31.0722
510,30.9673
520,30.9571
530,30.9004
540,30.9669
550,30.8779
560,30.8085
570,30.8143
580,30.7766
590,30.6434
600,30.5888
610,30.5545
620,30.5848
630,30.4056
640,30.4994
650,30.4643
660,30.4687
670,30.4552
680,30.3083
690,30.4775
700,30.4592
710,30.3845
720,30.3829
730,30.3405
740,30.2967
750,30.3352
760,30.2755
770,30.4137
780,30.2892
790,30.1124
800,30.2535
810,30.2158
820,30.2150
830,30.1746
840,30.0813
850,30.2443
860,30.0875
870,30.1428
880,30.1330
890,30.1312
900,30.0767
910,30.0440
920,30.1194
930,30.2094
940,30.0061
950,30.0169
960,30.0012
970,30.0228
980,30.0011
990,29.9617
1000,29.9137
1010,30.0100
1020,30.0092
1030,29.8681
1040,30.0328
1050,29.9935
1060,29.8582
1070,30.0260
1080,29.9262
1090,29.7917
1100,30.0939
1110,29.9105
1120,30.0748
1130,29.9921
1140,29.9860
1150,30.0095
1160,29.9265
1170,30.0363
1180,29.9008
1190,29.7929
1200,29.9645
1210,29.8520
1220,29.9940
1230,29.8143
1240,29.7563
1250,29.7724
1260,29.9967
1270,29.8294
1280,29.6889
1290,29.9590
1300,29.8744
1310,29.8441
1320,29.8963
1330,29.8469
1340,29.8309
1350,29.7356
1360,29.8372
1370,29.8162
1380,29.7975
1390,29.7138
1400,29.7532
1410,29.7554
1420,29.8515
