step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
20,0.00000045,150.79,13.6502,36.3994,28.1767,57376,4784,560
30,0.00000066,151.07,13.6667,38.6099,33.4540,57598,4670,452
40,0.00000087,150.06,13.6495,38.7797,27.4943,57291,4846,583
50,0.00000109,151.51,13.6816,36.3571,27.8665,57232,4913,576
60,0.00000130,152.93,13.7029,33.5094,22.9133,57749,4521,450
70,0.00000151,149.31,13.6874,35.1058,26.5376,57303,4807,609
80,0.00000173,154.04,13.7019,34.2860,23.9699,57741,4490,489
90,0.00000194,150.89,13.6581,39.8038,22.3847,57045,5048,627
100,0.00000215,153.87,13.6925,37.2977,23.6341,57371,4787,563
110,0.00000237,142.75,13.6470,35.0237,22.0807,57399,4757,564
120,0.00000258,150.20,13.6429,34.0933,21.1604,57396,4799,525
130,0.00000279,149.78,13.5794,33.0806,20.5807,57427,4745,548
140,0.00000301,151.05,13.5698,30.8799,20.5196,57209,4923,588
150,0.00000322,151.27,13.5773,32.0519,19.8469,57575,4703,442
160,0.00000343,148.02,13.5627,30.5486,19.4857,57818,4459,444
170,0.00000365,150.23,13.5269,32.4095,19.1021,57079,4967,674
180,0.00000386,148.93,13.4424,33.6830,20.0036,57334,4859,527
190,0.00000407,151.59,13.4276,32.8804,19.6779,57080,5005,635
200,0.00000429,148.71,13.3688,31.1795,19.5439,57448,4789,484
210,0.00000450,149.34,13.3562,33.7992,19.2827,57657,4586,477
220,0.00000471,149.53,13.3456,30.6576,19.3085,57498,4712,510
230,0.00000493,151.25,13.2597,30.6698,17.8352,57765,4473,482
240,0.00000514,155.17,13.2248,32.5968,19.2101,57484,4665,572
250,0.00000535,153.83,13.2156,30.6173,18.9029,57706,4554,460
260,0.00000557,150.53,13.1468,31.5708,19.0528,57366,4794,560
270,0.00000578,153.51,13.0994,33.0344,18.5152,57717,4558,446
280,0.00000599,155.09,13.0482,31.4407,17.8049,57114,5039,568
290,0.00000621,153.96,13.0163,30.7694,17.7684,58004,4326,389
300,0.00000642,150.99,12.9750,32.1956,18.2709,57243,4896,580
310,0.00000663,152.51,12.9688,30.3731,18.4772,57330,4796,594
320,0.00000685,151.61,13.0023,29.3995,18.4212,57663,4624,433
330,0.00000706,154.49,12.9417,30.7560,17.5736,56922,5219,579
340,0.00000727,155.74,12.9880,32.2312,18.6259,57228,4948,545
350,0.00000749,156.80,12.9819,30.0237,18.6775,57590,4618,513
360,0.00000770,157.30,13.0000,32.2006,18.6767,57689,4550,481
370,0.00000791,152.08,13.0602,30.9296,17.4650,57728,4538,454
380,0.00000813,154.70,13.0999,30.6689,18.2711,57604,4624,493
390,0.00000834,155.71,13.1652,31.1957,18.6327,57281,4897,542
400,0.00000855,154.15,13.1018,31.3218,18.3166,57425,4753,543
410,0.00000877,157.16,13.2119,29.5550,18.7851,57278,4853,589
420,0.00000898,153.36,13.3379,32.1418,17.2108,57297,4833,590
430,0.00000919,157.67,13.3473,30.5608,18.4613,57447,4738,535
440,0.00000941,161.62,13.3894,30.7639,18.5892,57973,4348,399
450,0.00000962,152.89,13.4907,29.8681,17.4322,57724,4547,448
460,0.00000983,159.10,13.5906,29.9183,17.9162,57472,4712,536
470,0.00001005,144.82,13.6220,30.6228,17.8163,56726,5312,682
480,0.00001026,154.22,13.7297,27.7551,17.5843,57016,5061,643
490,0.00001047,158.01,13.8471,29.3782,19.1646,57599,4648,473
500,0.00001069,156.39,13.8260,29.2362,17.5829,57642,4596,482
510,0.00001090,162.00,13.9019,29.2223,18.7461,57525,4596,599
520,0.00001111,160.61,13.9128,28.6499,18.2991,57467,4751,502
530,0.00001133,156.92,14.0326,28.8046,17.0808,57202,4919,599
540,0.00001154,162.70,14.0361,28.6527,18.6816,57513,4774,434
550,0.00001175,157.11,14.1800,27.9976,17.6749,57359,4779,582
560,0.00001197,155.50,14.1819,27.8459,17.4893,57420,4814,486
570,0.00001218,159.79,14.2419,27.4551,18.3867,57000,5055,665
580,0.00001239,159.96,14.3508,29.2701,16.7560,57702,4589,428
590,0.00001261,161.14,14.4924,26.0263,18.1846,57298,4870,551
600,0.00001282,158.06,14.5775,26.3028,17.4227,57680,4597,443
610,0.00001303,159.06,14.7097,28.9661,16.8780,57569,4650,501
620,0.00001325,161.87,14.7752,27.9548,17.6659,57323,4840,557
630,0.00001346,161.28,14.7904,26.9058,18.3302,57574,4687,459
640,0.00001367,160.91,14.7661,25.8779,18.7055,57726,4563,431
650,0.00001389,161.07,14.8473,26.9111,17.4359,57023,5089,608
660,0.00001410,161.86,14.8790,27.4860,18.2793,57580,4626,514
670,0.00001431,166.78,14.9566,27.9874,17.6768,56621,5380,719
680,0.00001453,166.98,15.0136,28.4506,17.4277,57327,4845,548
690,0.00001474,160.16,15.1262,27.4112,18.1521,57094,4990,636
700,0.00001495,162.62,15.2493,25.7234,17.9066,57405,4743,572
710,0.00001517,162.11,15.3688,25.4476,18.5377,57570,4658,492
720,0.00001538,163.70,15.4211,25.8149,17.3086,57336,4841,543
730,0.00001559,161.69,15.5340,26.5969,18.1276,57561,4685,474
740,0.00001581,162.30,15.4898,26.0703,17.1450,57686,4505,528
750,0.00001602,164.19,15.6390,25.3276,18.5118,57472,4740,508
760,0.00001623,166.40,15.6605,27.1812,17.6680,57604,4630,486
770,0.00001645,158.73,15.6909,24.6235,17.9131,57669,4585,466
780,0.00001666,166.77,15.7620,23.3065,17.5323,57646,4591,483
790,0.00001687,164.08,15.8007,26.9747,17.8779,57774,4509,438
800,0.00001709,162.30,15.8289,24.0523,16.7710,57818,4497,404
