step,loss
20,35.2543
30,35.2884
40,35.2614
50,35.2297
60,35.2134
70,35.1340
80,35.1295
90,35.0933
100,35.1237
110,35.1020
120,34.9556
130,34.9390
140,34.8325
150,34.7602
160,34.7683
170,34.5808
180,34.6081
190,34.4638
200,34.4423
210,34.3445
220,34.2569
230,34.1612
240,33.9608
250,33.9494
260,33.8285
270,33.7201
280,33.5593
290,33.5335
300,33.4072
310,33.3170
320,33.2888
330,33.0505
340,32.9661
350,32.9738
360,32.6928
370,32.5767
380,32.4840
390,32.4400
400,32.2879
410,32.2380
420,32.0795
430,31.9489
440,31.9877
450,31.8616
460,31.7609
470,31.7013
480,31.6554
490,31.5229
500,31.4750
510,31.3720
520,31.3147
530,31.2647
540,31.1899
550,31.1696
560,31.0709
570,31.0470
580,30.9527
590,31.0098
600,30.9138
610,30.9363
620,30.9068
630,30.9496
640,30.8382
650,30.7975
660,30.7151
670,30.7292
680,30.7198
690,30.6824
700,30.7087
710,30.6113
720,30.5680
730,30.5163
740,30.4996
750,30.4761
760,30.5976
770,30.4371
780,30.4759
790,30.4239
800,30.3937
810,30.4338
820,30.4006
830,30.3662
840,30.4304
850,30.3288
860,30.3250
870,30.2352
880,30.3056
890,30.3321
900,30.2730
910,30.2544
920,30.2090
930,30.1575
940,30.1806
950,30.1432
960,30.1318
970,30.1504
980,30.1278
990,30.1449
1000,30.0800
1010,30.0409
1020,30.1120
1030,30.0769
1040,29.9765
1050,30.0609
1060,29.9377
1070,30.0044
1080,29.9943
1090,29.9553
1100,29.9864
1110,30.0252
1120,29.9140
1130,29.9045
1140,29.9288
1150,29.8810
1160,29.9311
1170,29.9096
1180,29.8576
1190,29.8402
1200,29.8284
1210,29.8069
1220,29.8571
1230,29.7707
1240,29.7844
1250,29.7684
1260,29.7480
1270,29.7405
1280,29.7486
1290,29.7411
1300,29.6700
1310,29.6376
1320,29.6878
1330,29.6220
1340,29.6576
1350,29.6421
1360,29.5997
1370,29.6096
1380,29.6250
1390,29.5585
1400,29.5682
1410,29.4830
1420,29.5555
1430,29.5491
1440,29.5775
1450,29.5440
1460,29.5032
1470,29.5113
1480,29.5604
1490,29.5996
1500,29.5643
1510,29.5739
1520,29.5336
1530,29.5627
1540,29.5579
1550,29.4874
1560,29.5588
1570,29.5863
1580,29.5267
1590,29.5531
1600,29.6186
1610,29.5041
1620,29.5248
1630,29.5468
1640,29.4772
1650,29.5076
1660,29.5530
1670,29.4917
1680,29.5556
1690,29.4699
1700,29.5169
1710,29.6054
1720,29.5907
1730,29.5563
1740,29.5420
1750,29.5129
1760,29.5610
1770,29.5306
1780,29.5478
1790,29.6182
1800,29.5687
1810,29.5568
1820,29.5593
1830,29.5277
1840,29.5874
1850,29.4428
1860,29.4861
1870,29.5410
1880,29.5706
1890,29.5615
1900,29.5243
1910,29.5729
1920,29.4874
1930,29.5472
1940,29.6601
1950,29.5196
1960,29.6003
1970,29.5651
1980,29.5222
1990,29.5669
2000,29.5901
2010,29.4889
2020,29.5719
2030,29.5308
2040,29.5637
2050,29.4474
2060,29.5625
2070,29.5447
2080,29.5743
2090,29.5613
2100,29.5372
2110,29.4992
2120,29.4998
2130,29.5446
2140,29.6039
2150,29.6140
2160,29.5696
2170,29.4481
2180,29.4399
2190,29.5513
2200,29.4567
2210,29.5069
2220,29.5066
2230,29.5385
2240,29.5961
2250,29.5715
2260,29.6637
2270,29.5554
2280,29.5528
2290,29.5183
2300,29.5415
2310,29.6069
2320,29.5250
2330,29.4777
2340,29.5231
2350,29.5339
2360,29.5378
2370,29.5422
2380,29.5094
2390,29.5017
2400,29.4975
2410,29.5219
2420,29.5196
2430,29.5149
2440,29.4788
2450,29.4543
2460,29.4913
2470,29.5860
2480,29.5731
